tag	zh_tw	zh	en

# 警報履歷
i18n_ServCloud_AlarmHistory	警報履歷	警报履历	Machine Alarm Analysis
i18n_ServCloud_10_Alarm_Statistic_by_Codes	10 依警報代碼查詢警報履歷	10 依警报代码查询警报履历	10 Alarm Statistic by Codes
i18n_ServCloud_20_Alarm_Statisti_by_Machine	20 依機台查詢警報履歷	20 依机台查询警报履历	20 Alarm Statistic by Machine
i18n_ServCloud_30_Alarm_Statisti_by_Machine	30 依機台查詢警報履歷明細	30 依机台查询警报履历明细	30 Alarm Statistic Detail by Machine
i18n_ServCloud_By_Code_Anko	30 依照警報代碼搜尋 (PLC)	30 依照警报代码搜寻 (PLC)	30 Search By Code (PLC)
i18n_ServCloud_By_Machine_Anko	40 依照機台搜尋 (PLC)	40 依照机台搜寻 (PLC)	40 Search By Machine (PLC)
i18n_ServCloud_30_Alarm_Statistic_by_Codes_aidc	30 依警報代碼搜尋(aidc)	30 依照警报代码搜寻(aidc)	30 Search By Code(aidc)
i18n_ServCloud_40_Alarm_Statisti_by_Machine_aidc	40 依機台搜尋(aidc)	40 依机台搜寻(aidc)	40 Search By Machine(aidc)
i18n_ServCloud_10_Alarm_Statistic_by_Codes_all_brand	10 依警報代碼查詢警報履歷(all brand test)	10 依警报代码查询警报履历(all brand test)	10 Alarm Statistic by Codes(all brand test)
i18n_ServCloud_20_Alarm_Statisti_by_Machine_all_brand	20 依機台查詢警報履歷(all brand test)	20 依机台查询警报履历(all brand test)	20 Alarm Statistic by Machine(all brand test)

# 馬達故障診斷
i18n_ServCloud_MotorFaultDiagnosis	馬達故障診斷	马达故障诊断	Motor Fault Diagnosis
i18n_ServCloud_01_Motor_list	01 馬達列表	01 马达列表	01 motor list

# 刀具管理
i18n_ServCloud_ToolUsed	刀具使用量	刀具使用量	Tool Usage
i18n_ServCloud_01_Report	01 報告	01 报告	01 report
i18n_ServCloud_03_Tool_Usage_Statistics_For_Production	03產品刀具使用統計	03产品刀具使用统计	03 Tool Usage Statistics For Production
i18n_ServCloud_04_Tool_Log	04 刀具位置歷史	04 刀具位置历史	04 Tool Log

# 刀具監控
i18n_ServCloud_Cutting_Alarm_Monitoring	切削異常監控	切削异常监控	Cutting Alarm Monitoring
i18n_ServCloud_Tool_Monitor	刀具監控	刀具监控	Tool Monitor
i18n_ServCloud_Tool_Diagnosis	刀具診斷	刀具诊断	Tool Diagnosis
i18n_ServCloud_Tool_Monitor_new	刀具監控(new)	刀具监控(new)	Tool Monitor(new)
i18n_ServCloud_Tool_Diagnosis_new	刀具診斷(new)	刀具诊断(new)	Tool Diagnosis(new)

# 軸承RUL預測
i18n_ServCloud_BearingRULprediction	軸承RUL預測	轴承RUL预测	Bearing RUL prediction
i18n_ServCloud_10_Machine_Status	10 機台狀態	10 机台状态	10 Machine Status
i18n_ServCloud_20_Prediction_History_Query	20 預測紀錄查詢	20 预测纪录查询	20 Prediction History Query

# 監控
i18n_ServCloud_EquipMonitor	設備監控	设备监控	Machine Monitor
i18n_ServCloud_All_Plant_Area	00 全廠區監控	00 全厂区监控	00 All Plant area
i18n_ServCloud_All_Plant_Area_Edit	00 全廠區監控(編輯)	00 全厂区监控(编辑)	00 All Plant area (Edit)
i18n_ServCloud_Plant_Area_Edit	02 廠區監控(編輯)	02 厂区监控(编辑)	02 Plant area (Edit)
i18n_ServCloud_Machine_Edit	01 機台監控(編輯)	01 机台监控(编辑)	01 Machine (Edit)
i18n_ServCloud_Plant_Area_Monitor	02 廠區機台監視	02 厂区机台监视	02 Plant area machine monitor
i18n_ServCloud_Plant_Area_Monitor_Macro	廠區機台監視(Macro)	厂区机台监视(Macro)	Plant area machine monitor (Macro)
