	zh_tw	zh	en
i18n_ServCloud_BackupQuery	備份查詢	备份查询	Backup Query
i18n_ServCloud_10_BackupQuery	10_備份查詢	10_备份查询	10_Backup Query
i18n_ServCloud_Query_Condition	查詢條件	查询条件	Query Condition
i18n_ServCloud_Start_Date	開始日期	开始日期	Start Date
i18n_ServCloud_End_Date	結束日期	结束日期	End Date
i18n_ServCloud_Submit	提交	提交	Submit
i18n_ServCloud_Query_Result	查詢結果	查询结果	Query Result
i18n_ServCloud_Folder	ServCore	ServCore	ServCore
i18n_ServCloud_Date	日期	日期	Date
i18n_ServCloud_Result	備份結果	备份结果	Backup Result
i18n_ServCloud_Start_Tsp	備份開始時間	备份开始时间	Backup Start Timestamp
i18n_ServCloud_End_Tsp	備份結束時間	备份结束时间	Backup End Timestamp
i18n_ServCloud_Exception	失敗原因	失败原因	Exception
