	zh_tw	zh	en
i18n_ServCloud_Agent_Information	代理商聯絡資訊	代理商联络资讯	Agent contact information
i18n_ServCloud_License_Update	更新合約	更新合约	License update
i18n_ServCloud_File_Select	將合約檔案拖曳至此	将合约档案拖曳至此	Drop license file into here
i18n_ServCloud_30_Log_Download	日誌下載	日志下载	Log Download
i18n_ServCloud_Customer_Service	客戶服務	客户服务	Customer Service
i18n_ServCloud_Query_Condition	查詢條件	查询条件	Query Condition
i18n_ServCloud_Start_Date	開始日期	开始日期	Start date
i18n_ServCloud_End_Date	結束日期	结束日期	End date
i18n_ServCloud_ServCore	ServCore	ServCore	ServCore
i18n_ServCloud_QuerResult	查詢結果	查询结果	QueryResult
i18n_ServCloud_FileName	檔案名稱	档案名称	File Nmae
i18n_ServCloud_FileSize	檔案大小	档案大小	File Size
i18n_ServCloud_UploadTime	上傳時間	上传时间	Upload Time

