時間,機台編號,狀態,產量,OK/NG
08:00,M1,13,0,0
08:01,M1,11,0,0
08:02,M1,11,0,0
08:03,M1,12,0,0
08:04,M1,11,0,0
08:05,M1,11,0,0
08:06,M1,13,0,0
08:07,M1,11,0,0
08:08,M1,11,1,OK
08:09,M1,11,0,0
08:10,M1,11,0,0
08:11,M1,11,0,0
08:12,M1,11,0,0
08:13,M1,11,0,0
08:14,M1,11,0,0
08:15,M1,11,0,0
08:16,M1,11,0,0
08:17,M1,12,1,OK
08:18,M1,11,0,0
08:19,M1,11,0,0
08:20,M1,12,0,0
08:21,M1,11,0,0
08:22,M1,11,0,0
08:23,M1,12,0,0
08:24,M1,11,0,0
08:25,M1,12,0,0
08:26,M1,12,1,OK
08:27,M1,13,0,0
08:28,M1,11,0,0
08:29,M1,11,0,0
08:30,M1,11,0,0
08:31,M1,11,0,0
08:32,M1,11,0,0
08:33,M1,11,0,0
08:34,M1,11,0,0
08:35,M1,13,1,OK
08:36,M1,11,0,0
08:37,M1,12,0,0
08:38,M1,11,0,0
08:39,M1,11,0,0
08:40,M1,11,0,0
08:41,M1,11,0,0
08:42,M1,11,0,0
08:43,M1,11,0,0
08:44,M1,12,1,OK
08:45,M1,11,0,0
08:46,M1,11,0,0
08:47,M1,11,0,0
08:48,M1,11,0,0
08:49,M1,11,0,0
08:50,M1,12,0,0
08:51,M1,11,0,0
08:52,M1,11,0,0
08:53,M1,11,1,OK
08:54,M1,11,0,0
08:55,M1,13,0,0
08:56,M1,11,0,0
08:57,M1,13,0,0
08:58,M1,13,0,0
08:59,M1,11,0,0
09:00,M1,11,0,0
09:01,M1,11,0,0
09:02,M1,11,1,OK
09:03,M1,12,0,0
09:04,M1,11,0,0
09:05,M1,11,0,0
09:06,M1,11,0,0
09:07,M1,11,0,0
09:08,M1,11,0,0
09:09,M1,13,0,0
09:10,M1,11,0,0
09:11,M1,11,1,OK
09:12,M1,12,0,0
09:13,M1,11,0,0
09:14,M1,12,0,0
09:15,M1,11,0,0
09:16,M1,11,0,0
09:17,M1,11,0,0
09:18,M1,11,0,0
09:19,M1,11,0,0
09:20,M1,11,1,OK
09:21,M1,11,0,0
09:22,M1,13,0,0
09:23,M1,11,0,0
09:24,M1,11,0,0
09:25,M1,11,0,0
09:26,M1,11,0,0
09:27,M1,11,0,0
09:28,M1,11,0,0
09:29,M1,11,1,NG
09:30,M1,11,0,0
09:31,M1,11,0,0
09:32,M1,11,0,0
09:33,M1,11,0,0
09:34,M1,11,0,0
09:35,M1,11,0,0
09:36,M1,11,0,0
09:37,M1,13,0,0
09:38,M1,11,1,OK
09:39,M1,13,0,0
09:40,M1,11,0,0
09:41,M1,12,0,0
09:42,M1,11,0,0
09:43,M1,12,0,0
09:44,M1,11,0,0
09:45,M1,11,0,0
09:46,M1,13,0,0
09:47,M1,12,1,OK
09:48,M1,11,0,0
09:49,M1,11,0,0
09:50,M1,11,0,0
09:51,M1,11,0,0
09:52,M1,13,0,0
09:53,M1,11,0,0
09:54,M1,11,0,0
09:55,M1,11,0,0
09:56,M1,12,1,OK
09:57,M1,11,0,0
09:58,M1,11,0,0
09:59,M1,12,0,0
10:00,M1,11,0,0
10:01,M1,13,0,0
10:02,M1,11,0,0
10:03,M1,13,0,0
10:04,M1,11,0,0
10:05,M1,11,1,OK
10:06,M1,11,0,0
10:07,M1,12,0,0
10:08,M1,12,0,0
10:09,M1,11,0,0
10:10,M1,11,0,0
10:11,M1,12,0,0
10:12,M1,11,0,0
10:13,M1,11,0,0
10:14,M1,11,1,OK
10:15,M1,12,0,0
10:16,M1,11,0,0
10:17,M1,12,0,0
10:18,M1,11,0,0
10:19,M1,11,0,0
10:20,M1,11,0,0
10:21,M1,12,0,0
10:22,M1,11,0,0
10:23,M1,11,1,NG
10:24,M1,12,0,0
10:25,M1,12,0,0
10:26,M1,12,0,0
10:27,M1,11,0,0
10:28,M1,13,0,0
10:29,M1,11,0,0
10:30,M1,11,0,0
10:31,M1,11,0,0
10:32,M1,11,1,OK
10:33,M1,11,0,0
10:34,M1,12,0,0
10:35,M1,13,0,0
10:36,M1,11,0,0
10:37,M1,11,0,0
10:38,M1,11,0,0
10:39,M1,12,0,0
10:40,M1,11,0,0
10:41,M1,11,1,OK
10:42,M1,11,0,0
10:43,M1,11,0,0
10:44,M1,11,0,0
10:45,M1,11,0,0
10:46,M1,11,0,0
10:47,M1,11,0,0
10:48,M1,11,0,0
10:49,M1,11,0,0
10:50,M1,11,1,OK
10:51,M1,11,0,0
10:52,M1,13,0,0
10:53,M1,12,0,0
10:54,M1,12,0,0
10:55,M1,12,0,0
10:56,M1,11,0,0
10:57,M1,13,0,0
10:58,M1,11,0,0
10:59,M1,11,1,OK
11:00,M1,11,0,0
11:01,M1,11,0,0
11:02,M1,11,0,0
11:03,M1,12,0,0
11:04,M1,11,0,0
11:05,M1,12,0,0
11:06,M1,11,0,0
11:07,M1,11,0,0
11:08,M1,11,1,OK
11:09,M1,12,0,0
11:10,M1,11,0,0
11:11,M1,12,0,0
11:12,M1,12,0,0
11:13,M1,11,0,0
11:14,M1,11,0,0
11:15,M1,12,0,0
11:16,M1,12,0,0
11:17,M1,12,1,OK
11:18,M1,11,0,0
11:19,M1,11,0,0
11:20,M1,11,0,0
11:21,M1,12,0,0
11:22,M1,11,0,0
11:23,M1,12,0,0
11:24,M1,11,0,0
11:25,M1,11,0,0
11:26,M1,12,1,OK
11:27,M1,11,0,0
11:28,M1,12,0,0
11:29,M1,11,0,0
11:30,M1,11,0,0
11:31,M1,13,0,0
11:32,M1,11,0,0
11:33,M1,13,0,0
11:34,M1,12,0,0
11:35,M1,11,1,OK
11:36,M1,13,0,0
11:37,M1,12,0,0
11:38,M1,11,0,0
11:39,M1,11,0,0
11:40,M1,11,0,0
11:41,M1,11,0,0
11:42,M1,11,0,0
11:43,M1,11,0,0
11:44,M1,11,1,OK
11:45,M1,11,0,0
11:46,M1,11,0,0
11:47,M1,11,0,0
11:48,M1,11,0,0
11:49,M1,12,0,0
11:50,M1,11,0,0
11:51,M1,11,0,0
11:52,M1,12,0,0
11:53,M1,11,1,OK
11:54,M1,11,0,0
11:55,M1,11,0,0
11:56,M1,11,0,0
11:57,M1,11,0,0
11:58,M1,11,0,0
11:59,M1,12,0,0
12:00,M1,11,0,0
12:01,M1,11,0,0
12:02,M1,11,1,OK
12:03,M1,11,0,0
12:04,M1,12,0,0
12:05,M1,11,0,0
12:06,M1,11,0,0
12:07,M1,11,0,0
12:08,M1,11,0,0
12:09,M1,11,0,0
12:10,M1,11,0,0
12:11,M1,11,1,OK
12:12,M1,11,0,0
12:13,M1,11,0,0
12:14,M1,11,0,0
12:15,M1,11,0,0
12:16,M1,11,0,0
12:17,M1,11,0,0
12:18,M1,12,0,0
12:19,M1,11,0,0
12:20,M1,11,1,OK
12:21,M1,11,0,0
12:22,M1,11,0,0
12:23,M1,11,0,0
12:24,M1,11,0,0
12:25,M1,11,0,0
12:26,M1,11,0,0
12:27,M1,13,0,0
12:28,M1,11,0,0
12:29,M1,13,1,NG
12:30,M1,11,0,0
12:31,M1,11,0,0
12:32,M1,12,0,0
12:33,M1,11,0,0
12:34,M1,11,0,0
12:35,M1,11,0,0
12:36,M1,11,0,0
12:37,M1,12,0,0
12:38,M1,11,1,OK
12:39,M1,11,0,0
12:40,M1,11,0,0
12:41,M1,11,0,0
12:42,M1,11,0,0
12:43,M1,11,0,0
12:44,M1,11,0,0
12:45,M1,11,0,0
12:46,M1,11,0,0
12:47,M1,11,1,OK
12:48,M1,11,0,0
12:49,M1,11,0,0
12:50,M1,12,0,0
12:51,M1,11,0,0
12:52,M1,13,0,0
12:53,M1,11,0,0
12:54,M1,13,0,0
12:55,M1,13,0,0
12:56,M1,11,1,OK
12:57,M1,12,0,0
12:58,M1,12,0,0
12:59,M1,11,0,0
13:00,M1,11,0,0
13:01,M1,12,0,0
13:02,M1,11,0,0
13:03,M1,11,0,0
13:04,M1,11,0,0
13:05,M1,12,1,OK
13:06,M1,11,0,0
13:07,M1,12,0,0
13:08,M1,11,0,0
13:09,M1,11,0,0
13:10,M1,11,0,0
13:11,M1,11,0,0
13:12,M1,11,0,0
13:13,M1,11,0,0
13:14,M1,11,1,OK
13:15,M1,12,0,0
13:16,M1,12,0,0
