	zh_tw	zh	en
i18n_ServCloud_Dashboard	輪播看板	轮播看板	Dashboard
i18n_ServCloud_Screen	輪播	轮播	Play
i18n_ServCloud_Group_Manage	管理群組	管理群组	Group Management
i18n_ServCloud_Work	工單	工单	Work order
i18n_ServCloud_Product_Number	產品編號	产品编号	Product Number
i18n_ServCloud_Work_Start_time	工單起始時間	工单起始时间	Work start time
i18n_ServCloud_Work_End_time	工單結束時間	工单结束时间	Work end time
i18n_ServCloud_Light_Style	亮版	亮版	Light style
i18n_ServCloud_Dark_Style	暗版	暗版	Dark style
i18n_ServCloud_Technology_Style	科技版	科技版	Technology style
i18n_ServCloud_Change_Freq	畫面切換頻率(秒)	画面切换频率(秒)	Change Frequency (sec)
i18n_ServCloud_Group_ID	群組編號	群组编号	Group ID
i18n_ServCloud_Group_Name	群組名稱	群组名称	Group Name
i18n_ServCloud_Line	產線	产线	Line
i18n_ServCloud_Is_Open	是否啟用	是否启用	Activate
i18n_ServCloud_Move_In_Time	進站時間	进站时间	Move in time
i18n_ServCloud_Move_Out_Time	出站時間	出站时间	Move out time
i18n_ServCloud_Product	產品	产品	Product
i18n_ServCloud_Process	工序	工序	Process
i18n_ServCloud_Output	產量	产量	Output
i18n_ServCloud_Invalid_Reason	無效原因	无效原因	Inefficiency reason
i18n_ServCloud_Start_Time	開始時間	开始时间	Start time
i18n_ServCloud_Cumulative_Minute	累計分鐘	累计分钟	Cumulative time (min)
i18n_ServCloud_Second	秒	秒	Seconds
i18n_ServCloud_Adverse_Number	不良數	不良数	Adverse number
i18n_ServCloud_Yield	良率	良率	Yield

# 工單排程 45_production_schedule
i18n_ServCloud_Production_Schedule_Recommend	工單排程及建議	工单排程及建议	Production schedule And Recommend
i18n_ServCloud_Schedule	排程	排程	Schedule
i18n_ServCloud_Work_Order	工單	工单	Work order
i18n_ServCloud_Booking_Delivery_Date	預訂交貨日	预订交货日	Booking delivery date
i18n_ServCloud_Delivery_Volume	交付量	交付量	Delivery volume
i18n_ServCloud_Standard_Work	標工	标工	Standard work
i18n_ServCloud_Expected_Completion_Date	預計完工日	预计完工日	Expected completion date
i18n_ServCloud_Disparity	差距	差距	Disparity
i18n_ServCloud_Scheduling_Advice	排程建議	排程建议	Scheduling advice
i18n_ServCloud_Adjusted_Completion_Date	調整後完工日	制程报工状况	Adjusted completion date
i18n_ServCloud_Impact_Note	影響備註	影响备注	Impact note
i18n_ServCloud_Process_Report_Status	製程報工狀況	制程报工状况	Process report status
i18n_ServCloud_Ongoing_Process	進行中製程	进行中制程	Ongoing process
i18n_ServCloud_Process_Completed	已完成製程	已完成制程	Process completed
i18n_ServCloud_Idle_Reason	閒置原因	闲置原因	Idle reason
i18n_ServCloud_Ng_Reason	不良原因	不良原因	Ng reason
i18n_ServCloud_Statistics	統計	统计	 statistics
i18n_ServCloud_Take_Top	取前	取前	Top
i18n_ServCloud_Today_Take_Top	當日取前	当日取前	Today Top
i18n_ServCloud_Today_History_Comparison	今/昔比對	今/昔比对	Today/History Comparison
i18n_ServCloud_Line_State_Stacking_Diagram	線別狀態堆疊圖	线别状态堆叠图	Line state stacking diagram
i18n_ServCloud_Reason1	元料件短缺	元料件短缺	Shortage of materials
i18n_ServCloud_Reason_Info1	原料供給排程需調整	原料供给排程需调整	Raw material supply schedule needs to be adjusted
i18n_ServCloud_Reason2	休息時間	休息时间	Break time
i18n_ServCloud_Reason_Info2	分批調整休息時段	分批调整休息时段	Batch adjustment of rest periods
i18n_ServCloud_Reason3	清潔料管	清洁料管	Cleaning tube
i18n_ServCloud_Reason_Info3	提高清潔洗料管轉速與射速	提高清洁洗料管转速与射速	Improve cleaning washing tube speed and rate of fire
i18n_ServCloud_Reason4	當機	当机	Fake
i18n_ServCloud_Reason_Info4	機台需安排檢修	机台需安排检修	The machine needs to be arranged for overhaul
i18n_ServCloud_Reason5	治具維修	治具维修	Fixture repair
i18n_ServCloud_Reason_Info5	增補機台備用治具	增补机台备用治具	Supplementary machine spare fixture
i18n_ServCloud_Reason6	停機待料	停机待料	Shutdown
i18n_ServCloud_Reason_Info6	前製程加工時程過久	前制程加工时程过久	Excessive processing time is too long
i18n_ServCloud_Reason7	組裝件數目不一	组装件数目不一	The number of assemblies is different
i18n_ServCloud_Reason_Info7	前製程不良品過多導致	前制程不良品过多导致	Excessive pre-process defective products
i18n_ServCloud_Reason8	修整組裝件	修整组装件	Trimming assembly
