	zh_tw	zh	en
i18n_ServCloud_EquipMonitor	設備監控	设备监控	Machine Monitor
i18n_ServCloud_Functions	功能	功能	Functions
i18n_ServCloud_01_machine_list	01 機台列表	01 机台列表	01 machine list
i18n_ServCloud_Machine_List	機台列表	机台列表	Machine List
i18n_ServCloud_Machine_Id	機台編號	机台编号	MACHINE_ID
i18n_ServCloud_Light_Status	顯示燈號	显示灯号	Machine Status
i18n_ServCloud_Online	上線	上线	Online
i18n_ServCloud_Stop	停止	停止	Stop
i18n_ServCloud_Alarm	事件發生	事件发生	Alarm
i18n_ServCloud_Offline	離線	离线	Offline
i18n_ServCloud_Light_Working	加工	加工	Working
i18n_ServCloud_Light_Idle	閒置	闲置	Idle
i18n_ServCloud_Light_Alarm	警報	警报	Alarm
i18n_ServCloud_Dashboard	主要資訊	主要资讯	Dashboard
i18n_ServCloud_Alarm_History	Alarm 履歷	Alarm 履历	Alarm History
i18n_ServCloud_Operation	操作履歷	操作履历	Operation
i18n_ServCloud_PMC_Message	PMC 訊息	PMC 讯息	PMC Message
i18n_ServCloud_Alarm_Message	Alarm 訊息	Alarm 讯息	Alarm
i18n_ServCloud_Prog_Download	CNC 記憶體下載	CNC 记忆体下载	Prog Download
i18n_ServCloud_Prog_Upload	CNC 記憶體上傳	CNC 记忆体上传	Prog Upload
i18n_ServCloud_Controller	控制器資訊	控制器资讯	Controller
i18n_ServCloud_Message_History	Message 履歷	Message 履历	Message History
i18n_ServCloud_Message	Message 訊息	Message 讯息	Message
i18n_ServCloud_Leave	離開	离开	Exit
i18n_ServCloud_Monitoring_Information	監控資訊	监控资讯	Monitoring information
i18n_ServCloud_The_Controller_End_State_Column	控制器端狀態列	控制器端状态列	The controller end state column
i18n_ServCloud_Absolute_Position	絕對座標	绝对座标	Absolute position
i18n_ServCloud_Machine_Position	機械座標	机械座标	Machine position
i18n_ServCloud_Relative_Position	相對座標	相对座标	Relative position
i18n_ServCloud_Distance_To_Go	剩餘距離	剩余距离	Distance to go
i18n_ServCloud_Parts_Data	元件資料	元件资料	Parts data
i18n_ServCloud_Servo_Spindle	伺服 / 主軸	伺服 / 主轴	Servo / Spindle
i18n_ServCloud_Execute_Program	執行程式	执行程式	Execute program
i18n_ServCloud_Processing_Time_Statistics	加工時間統計	加工时间统计	Processing time statistics
i18n_ServCloud_Modal_Other_Code	Modal other code	Modal other code	Modal other code
i18n_ServCloud_Modal_G_Code	Modal G-code	Modal G-code	Modal G-code
i18n_ServCloud_Parts_Total	加工元件總數	加工元件总数	Parts total
i18n_ServCloud_Parts_Required	加工元件請求	加工元件请求	Parts required
i18n_ServCloud_Parts_Count	加工元件數量	加工元件数量	Parts count
i18n_ServCloud_Servo_Feedrate_Override	進給率百分比	进给率百分比	Servo feedrate override
i18n_ServCloud_Servo_Actual_Feedrate	實際進給率	实际进给率	Servo actual feedrate
i18n_ServCloud_Spindle_Speed_Override	主軸轉速百分比	主轴转速百分比	Spindle speed override
i18n_ServCloud_Line_Number	行號	行号	Line number
