	zh_tw	zh	en
i18n_ServCloud_Query_Conditions	查詢條件	查询条件	Query conditions
i18n_ServCloud_Category_Query	類別查詢	类别查询	Category query
i18n_ServCloud_Integrated_Query	綜合查詢	综合查询	Integrated Query
i18n_ServCloud_Demand_Order_Number	需求單號	需求单号	Demand order number
i18n_ServCloud_All_Responsibility_Demand_Orders	所有責任處理需求單	所有责任处理需求单	All responsibility to process demand orders
i18n_ServCloud_All_Open_Demand_Orders	所有未結案需求單	所有未结案需求单	All open demand orders
i18n_ServCloud_Urgent_Problem_Pending_Demand_List	緊急問題待處理需求單	紧急问题待处理需求单	Urgent problem pending demand list
i18n_ServCloud_Problem_Pending_Demand_List	問題待處理需求單	问题待处理需求单	Problem pending demand list
i18n_ServCloud_Overdue_Demand_Order	已逾期需求單	已逾期需求单	Overdue demand order
i18n_ServCloud_Start_Date	起始日期	起始日期	Start date
i18n_ServCloud_End_Date	結束日期	结束日期	End date
i18n_ServCloud_Pre_Delivery_Date	預交日	预交日	Pre-delivery date
i18n_ServCloud_Document_Type	單據類型	单据类型	Document Type
i18n_ServCloud_Responsible_Manufacturer	負責廠商	负责厂商	Responsible manufacturer
i18n_ServCloud_Document_Status	單據狀態	单据状态	Document status
i18n_ServCloud_Unfinished	未結案	未结案	Unfinished
i18n_ServCloud_Closed_Case	已結案	已结案	Closed case
i18n_ServCloud_Query	查詢	查询	Query
i18n_ServCloud_Query_result	查詢結果	查询结果	Query result
i18n_ServCloud_Serial_Number	序號	序号	Serial number
i18n_ServCloud_Item_Number	品號	品号	Item number
i18n_ServCloud_Item_Name	品名	品名	Item name
i18n_ServCloud_Original_Advance_Date	原預交日	原预交日	Original advance date
i18n_ServCloud_Closing_Time	結案時間	结案时间	Closing time
i18n_ServCloud_Close_Case	結案	结案	Close case
i18n_ServCloud_Create_Demand_List	新增需求單	新增需求单	Create demand list
i18n_ServCloud_Inquiry_Order	詢價單	询价单	Inquiry Order
i18n_ServCloud_Purchase_Order	採購單	采购单	Purchase Order
i18n_ServCloud_Create_Processing_Problem	新增加工問題	新增加工问题	Create processing problem
i18n_ServCloud_Create_Problem	新增問題	新增问题	Create problem
i18n_ServCloud_Question_Level	問題等級	问题等级	Question level
i18n_ServCloud_Question_Status	問題狀態	问题状态	Question Status
i18n_ServCloud_Urgent	緊急	紧急	Urgent
i18n_ServCloud_General	一般	一般	General
i18n_ServCloud_Mark_As_Confidential	標註為機密問題	标注为机密问题	Mark as confidential
i18n_ServCloud_Question_Title	問題標題	问题标题	Question title
i18n_ServCloud_Question_Description	問題說明	问题说明	Question description
i18n_ServCloud_Upload_File	上傳檔案	上传档案	Upload file
i18n_ServCloud_General_File	一般檔案	一般档案	General file
i18n_ServCloud_Quotation_File	報價檔案	报价档案	Quotation file
i18n_ServCloud_Drag_File_To_Here	拖曳檔案至此	拖曳档案至此	Drag file to here
i18n_ServCloud_None	無	无	None
i18n_ServCloud_This_Demand_Number_Already_Exists	此需求單號已存在	此需求单号已存在	This demand number already exists
i18n_ServCloud_Back_To_Demand_List_Query	回到需求單查詢	回到需求单查询	Back to demand list query
i18n_ServCloud_Demand_Order_Information	需求單資訊	需求单资讯	Demand order information
i18n_ServCloud_Delivery_Confirmation_Date	交期確認日	交期确认日	Delivery confirmation date
i18n_ServCloud_Create_By	建立人	建立人	Create by
i18n_ServCloud_Create_Time	建立時間	建立时间	Create time
i18n_ServCloud_Modify_By	最後修改人	最后修改人	Modify by
i18n_ServCloud_Modify_Time	最後修改時間	最后修改时间	Modify time
i18n_ServCloud_Delivery_Record	交期修改紀錄	交期修改纪录	Delivery record
i18n_ServCloud_Confirm_Delivery	確認交期	确认交期	Confirm delivery
