	zh_tw	zh	en
i18n_ServCloud_Juihua	睿華國際報表管理	睿华国际报表管理	睿華國際報表管理
i18n_ServCloud_Juihua_Order_To_Month_Plan	訂單計轉月計畫	订单计转月计画	Order to planning of month
i18n_ServCloud_Juihua_Upload_Time	上傳時間	上传时间	Upload Time
i18n_ServCloud_Juihua_File_Name	檔名	档名	File Name
i18n_ServCloud_Juihua_Month_Plan	月計畫	月计画	Planing of Month
i18n_ServCloud_Drop_File	將訂單拖曳至此	将订单拖曳至此	Drop the order to here
i18n_ServCloud_To_Upload	上傳	上传	for upload
i18n_ServCloud_Report_Start_Date	本月起始日	本月起始日	Start date of this month
i18n_ServCloud_Report_End_Date	本月結束日	本月结束日	End date of this month
i18n_ServCloud_File_Must_Be_Txt	檔案格式需為 txt	档案格式需为 txt	File format must be txt
