	zh_tw	zh	en
i18n_ServCloud_Data_Upload	資料上傳	资料上传	Data Upload
i18n_ServCloud_Employee_Data_Upload	員工資料上傳	员工资料上传	Employee Data Upload
i18n_ServCloud_ERP_Data_Upload	ERP資料上傳	ERP资料上传	ERP Data Upload
i18n_ServCloud_dragXlsxFile	將.xlsx檔案拖曳至此	将.xlsx档案拖曳至此	Drag .xlsx file in here
i18n_ServCloud_orClick	或按我	或按我	or click me
i18n_ServCloud_Upload_Failed	上傳失敗	上传失败	Upload failed.
i18n_ServCloud_Upload_Time	上傳時間	上传时间	Upload_Time
i18n_ServCloud_Upload_DataName	上傳檔名	上传檔名	Upload_DataName
i18n_ServCloud_Total_Rows	總筆數	总笔数	Total_Rows
i18n_ServCloud_Success_Rows	成功筆數	成功笔数	Success_Rows
i18n_ServCloud_Fail_Rows	失敗列數	失败列数	Fail_Rows
i18n_ServCloud_Upload_Account	上傳帳號	上传帐号	Upload_Account
i18n_ServCloud_warehouse_material_Sending_Main	查詢出庫單主檔	查询出库单主檔	warehouse_material_Sending_Main
i18n_ServCloud_warehouse_material_Sending_List	查詢出庫單明細	查询出库单明细	warehouse_material_Sending_List
i18n_ServCloud_Start_Date	起始日期	起始日期	Start date
i18n_ServCloud_End_Date	結束日期	结束日期	End Date
i18n_ServCloud_Inquire	查詢	查询	Inquire
i18n_ServCloud_Query_Result	查詢結果	查询结果	Query Result
i18n_ServCloud_Warehouse_Out_Type	出庫方式	出库方式	Warehouse_Out_Type
i18n_ServCloud_Supplier_Material_Id	供應商料號	供应商料号	Supplier_Material_Id
i18n_ServCloud_Warehouse_Out_PageNumber	出庫單號	出库单号	Warehouse_Out_PageNumber
i18n_ServCloud_Item_Number	品項項次	品項項次	Item_Number
i18n_ServCloud_Storage_Date	入庫日期	入库日期	Storage_Date
i18n_ServCloud_Warehouse_Out_Start_Date	出庫單起始日期	出库单起始日期	Warehouse_Out_Start_DateStart_Date
i18n_ServCloud_Warehouse_Out_End_Date	出庫單結束日期	出库单结束日期	Warehouse_Out_End_Date
i18n_ServCloud_Warehouse_Out_Time	出庫時間	出库时间	Warehouse_Out_Time
i18n_ServCloud_Warehouse_Out_Order	發料單	发料单	Warehouse_Out_Order
i18n_ServCloud_Warehouse_Out_List	發料單明細	发料单明細	Warehouse_Out_List
i18n_ServCloud_Warehouse_Out_Order_No	發料單號	发料单号	Warehouse_Out_Order_No
i18n_ServCloud_Unit_Qty	單件數量	单件数量	Unit_Qty
i18n_ServCloud_Storage_Number	入庫數	入库数	Storage_Number
i18n_ServCloud_Residue_Warehousing	餘料入库	余料入库	Residue_Warehousing
i18n_ServCloud_Yes	是	是	Yes
i18n_ServCloud_No	否	否	No
i18n_ServCloud_Transferred_Out	是否已註記轉出	是否已注记转出	Transferred_Out
i18n_ServCloud_Warehouse	倉別	仓别	Warehouse
i18n_ServCloud_Pkg-Id	PKG-ID	PKG-ID	PKG-ID
i18n_ServCloud_Part_No	料號	料号	Part No
i18n_ServCloud_Quantity	數量	数量	Quantity
