	zh_tw	zh	en
i18n_ServCloud_ProgTransmit	CNC 程式上下傳	CNC 程式上下传	CNC Program Upload/Download
i18n_ServCloud_Machine_List	機台列表	机台列表	Machine List
i18n_ServCloud_Machines	機台列表	机台列表	Machine List
i18n_ServCloud_Prog_Upload_Download	程式上下傳	程式上下传	Program Transmit
i18n_ServCloud_Light_Status	顯示燈號	显示灯号	Machine Status
i18n_ServCloud_Name	名稱	名称	Name
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_Prog_Download	CNC 程式下載	CNC 程式下载	CNC Prog Download
i18n_ServCloud_Prog_Upload	CNC 程式上傳	CNC 程式上传	CNC Prog Upload
i18n_ServCloud_Leave	離開	离开	Exit
i18n_ServCloud_Monitoring_Information	監控資訊	监控资讯	Monitoring information
i18n_ServCloud_Machine_Id	機台編號	机台编号	MACHINE_ID
i18n_ServCloud_Program	程式名稱	程式名称	Program
i18n_ServCloud_Size	檔案大小	档案大小	Size
i18n_ServCloud_Note	註解	注解	Note
i18n_ServCloud_Download	下載	下载	Download
i18n_ServCloud_Please_Select_The_Program_Upload	請選擇檔案上傳	请选择档案上传	Please select the program upload
i18n_ServCloud_Browse	選擇檔案	选择档案	Browse
i18n_ServCloud_Upload	上傳檔案	上传档案	Upload
i18n_ServCloud_Controller_Information	控制器資訊	控制器资讯	Controller information
i18n_ServCloud_System	系統	系统	System
i18n_ServCloud_Remaining_Storage	剩餘空間	剩余空间	Remaining Storage
i18n_ServCloud_Prog_Upload_List	CNC 程式上傳列表	CNC 程式上传列表	CNC Prog Upload List
i18n_ServCloud_File_Name	檔名	档名	File Name
i18n_ServCloud_Cancel	取消	取消	Cancel
i18n_ServCloud_Cancel_All	全部取消	全部取消	Cancel All
i18n_ServCloud_Multi_File_Download	多檔下載	多档下载	Multi-file Download
i18n_ServCloud_Select_File	選取檔案	选取档案	Select File
