	zh_tw	zh	en
i18n_ServCloud_ServTrack_000001	顯示Demo資料	显示Demo资料	Display demo data
i18n_ServCloud_ServTrack_000002	進站時間	进站时间	Move in time
i18n_ServCloud_ServTrack_000003	製程	制程	Production process
i18n_ServCloud_ServTrack_000004	行動報工站	行动报工站	ServTrack
i18n_ServCloud_ServTrack_000005	良品數 - (總生產時間 / 單件標工)	良品数 - (总生产时间 / 单件标工)	Good product quantity - (Total production time / Product cycle time per unit)
i18n_ServCloud_ServTrack_000006	績效時間(分)	绩效时间(分)	Performance Time (min)
i18n_ServCloud_ServTrack_000007	績效數量(件)	绩效数量(件)	Performance quantity (pieces)
i18n_ServCloud_ServTrack_000008	(良品數 × 單件標工) - 總生產時間	(良品数 × 单件标工) - 总生产时间	(Good product quantity x Product cycle time per unit) - Total production time
i18n_ServCloud_ServTrack_000009	線別名稱	线别名称	Production line name
i18n_ServCloud_ServTrack_000010	線別	线别	Production line
i18n_ServCloud_ServTrack_000011	產量	产量	Produciton quantity
i18n_ServCloud_ServTrack_000012	產品	产品	Product
i18n_ServCloud_ServTrack_000013	班次起始日期	班次起始日期	Shift start date
i18n_ServCloud_ServTrack_000014	班次結束日期	班次结束日期	Shift end date
i18n_ServCloud_ServTrack_000015	班次日期	班次日期	Shift date
i18n_ServCloud_ServTrack_000016	清除	清除	Clear
i18n_ServCloud_ServTrack_000017	派工單號	派工单号	Work order number
i18n_ServCloud_ServTrack_000018	查詢結果	查询结果	Query result
i18n_ServCloud_ServTrack_000019	查詢時間	查询时间	Query time
i18n_ServCloud_ServTrack_000020	查詢	查询	Query
i18n_ServCloud_ServTrack_000021	工序	工序	Production process sequence
i18n_ServCloud_ServTrack_000022	單件標工(分)	单件标工(分)	Product cycle time per unit (minute)
i18n_ServCloud_ServTrack_000023	出站時間	出站时间	Move out time
i18n_ServCloud_ServTrack_000024	不良品數	不良品数	Defective product quantity
i18n_ServCloud_ServTrack_000025	60_作業績效	60_作业绩效	60_Working performance 
i18n_ServCloud_ServTrack_000026	開始	开始	Start
i18n_ServCloud_ServTrack_000027	起始日期	起始日期	Start date
i18n_ServCloud_ServTrack_000028	詳細資料	详细资料	Detail information
i18n_ServCloud_ServTrack_000029	良率目標值(%)	良率目标值(%)	Target yield rate (%)
i18n_ServCloud_ServTrack_000030	良率(%)	良率(%)	Yield rate (%)
i18n_ServCloud_ServTrack_000031	良品數 / 初始投入量 x 100	良品数 / 初始投入量 x 100	Good product quantity / First input amount x 100
i18n_ServCloud_ServTrack_000032	良品	良品	Good product
i18n_ServCloud_ServTrack_000033	總體稼動率(%)	总体稼动率(%)	Overall equipment effectiveness (OEE) (%)
i18n_ServCloud_ServTrack_000034	總體稼動率	总体稼动率	Overall equipment effectiveness (OEE)
i18n_ServCloud_ServTrack_000035	總生產時間 / 單件標工	总生产时间 / 单件标工	Total production time / Product cycle time per unit
i18n_ServCloud_ServTrack_000036	結束日期	结束日期	End date
i18n_ServCloud_ServTrack_000037	結束	结束	End
i18n_ServCloud_ServTrack_000038	紅色表示該次產能或良率過低	红色表示该次产能或良率过低	Red indicates that the production capacity or yield rate is lower than standard
i18n_ServCloud_ServTrack_000039	管理者	管理者	Supervisor
i18n_ServCloud_ServTrack_000040	產能效率目標值(%)	产能效率目标值(%)	Production capacity efficiency target rate (%)
i18n_ServCloud_ServTrack_000041	產能效率(%)	产能效率(%)	Production capacity efficiency rate (%)
i18n_ServCloud_ServTrack_000042	生產時間(分)	生产时间(分)	Production time (minute)
i18n_ServCloud_ServTrack_000043	應有產量	应有产量	Required production quantity
i18n_ServCloud_ServTrack_000044	實際產量	实际产量	Actual production quantity
i18n_ServCloud_ServTrack_000045	在製過程	在制过程	In-production process
i18n_ServCloud_ServTrack_000046	各線計畫達成率	各线计画达成率	Production line plan hit rate
i18n_ServCloud_ServTrack_000047	利用率×良率×產能效率	利用率×良率×产能效率	Utilization rate x Yield rate x Production capacity efficiency
i18n_ServCloud_ServTrack_000048	利用率(%)	利用率(%)	Unitlizaiotn rate (%)
i18n_ServCloud_ServTrack_000049	(實際產量 × 單件標工) / 總生產時間 × 100	(实际产量 × 单件标工) / 总生产时间 × 100	(Actual production quantity x Product cycle time per unit) / Total produciton time x 100
i18n_ServCloud_ServTrack_000050	總生產時間 / 各線各班次天應生產時間 × 100	总生产时间 / 各线各班次天应生产时间 × 100	Total production time / production line single day shift required produciton time x 100
i18n_ServCloud_ServTrack_000051	過濾良品數	过滤良品数	Filter Good product quantity
i18n_ServCloud_ServTrack_000052	過濾總體稼動率目標值(%)	过滤总体稼动率目标值(%)	Filter Overall equipment effectiveness (OEE) target rate(%)
i18n_ServCloud_ServTrack_000053	過濾總體稼動率	过滤总体稼动率	Filter Overall equipment effectiveness (OEE) rate
i18n_ServCloud_ServTrack_000054	過濾總生產時間	过滤总生产时间	Filter Total production time
i18n_ServCloud_ServTrack_000055	過濾線別良率目標值(%)	过滤线别良率目标值(%)	Filter Production line target yield rate(%)
i18n_ServCloud_ServTrack_000056	過濾線別良率(%)	过滤线别良率(%)	Filter Production line yield rate(%)
i18n_ServCloud_ServTrack_000057	過濾目標值	过滤目标值	Filter Target rate
i18n_ServCloud_ServTrack_000058	過濾應有產量	过滤应有产量	Filter Required production quantity
i18n_ServCloud_ServTrack_000059	過濾實際產量	过滤实际产量	Filter Actual production quantity
i18n_ServCloud_ServTrack_000060	過濾利用率	过滤利用率	Filter Utilization rate
i18n_ServCloud_ServTrack_000061	良品數	良品数	Good product quantity
i18n_ServCloud_ServTrack_000062	總體稼動率目標值(%)	总体稼动率目标值(%)	Overall equipment effectiveness (OEE) target rate(%)
i18n_ServCloud_ServTrack_000063	總生產時間 / 單件標工	总生产时间 / 单件标工	Total production time / Product cycle time per unit
i18n_ServCloud_ServTrack_000064	總生產時間 / 各線各班次天應生產時間 x 100	总生产时间 / 各线各班次天应生产时间 x 100	Total production time / Production line single day shift required production time x 100
i18n_ServCloud_ServTrack_000065	總生產時間(小時)	总生产时间(小时)	Total production time (hour)
i18n_ServCloud_ServTrack_000066	線別良率目標值(%)	线别良率目标值(%)	Production line target yield rate(%)
i18n_ServCloud_ServTrack_000067	線別良率(%)	线别良率(%)	Production line yield rate(%)
i18n_ServCloud_ServTrack_000068	目標值	目标值	Target rate
i18n_ServCloud_ServTrack_000069	當日所有總體稼動率總和	当日所有总体稼动率总和	Sum of all overall equipment effectiveness (OEE) of the day
i18n_ServCloud_ServTrack_000070	每日明細	每日明细	Daily details
i18n_ServCloud_ServTrack_000071	未設定各線每日應生產工時	未设定各线每日应生产工时	Not yet setup production line daily required working hours
i18n_ServCloud_ServTrack_000072	平均值	平均值	Average value
i18n_ServCloud_ServTrack_000073	平均	平均	Average
i18n_ServCloud_ServTrack_000074	各線稼動率 - 長條圖	各线稼动率 - 长条图	Production line utilization rate - bar chart
i18n_ServCloud_ServTrack_000075	各日總體稼動率總和 / 天數 x 100	各日总体稼动率总和 / 天数 x 100	Sum of the daily overall equipment effectiveness (OEE) / Number of days x 100
i18n_ServCloud_ServTrack_000076	40_各線總體稼動率(OEE)	40_各线总体稼动率(OEE)	40_Production line overall equipment effectiveness (OEE)
i18n_ServCloud_ServTrack_000077	--表示此筆資料當日無進出站記錄	--表示此笔资料当日无进出站记录	--Indicate that there is no move in or move out records for this data
i18n_ServCloud_ServTrack_000078	進出站明細	进出站明细	Move in and move out details
i18n_ServCloud_ServTrack_000079	總體稼動率目標值(%)	总体稼动率目标值(%)	Overall equipment effectiveness (OEE) target rate(%)
i18n_ServCloud_ServTrack_000080	當日無進出站記錄	当日无进出站记录	No move in or move out record of the day
i18n_ServCloud_ServTrack_000081	當日利用度	当日利用度	Utilization rate of the day
i18n_ServCloud_ServTrack_000082	未設定各線每日應生產工時	未设定各线每日应生产工时	Not yet setup production line daily required working hours
i18n_ServCloud_ServTrack_000083	各線當日利用度	各线当日利用度	Production line utilization rate of the day
i18n_ServCloud_ServTrack_000084	利用率 x 良率 x 產能效率	利用率 x 良率 x 产能效率	Utilization rate x Yield rate x Production capacity efficiency
i18n_ServCloud_ServTrack_000085	且當日無進出站記錄	且当日无进出站记录	and no move in or move out records of the day
i18n_ServCloud_ServTrack_000086	50_各線當日計畫達成率	50_各线当日计画达成率	50_Production line plan of the day hit rate
i18n_ServCloud_ServTrack_000087	--表示該筆資料當日無進出站記錄	--表示该笔资料当日无进出站记录	--Indicate that there is no move in or move out records for this data
i18n_ServCloud_ServTrack_000088	##表示該筆資料未設定各線每日應生產工時	##表示该笔资料未设定各线每日应生产工时	##Indicate that the data is not yet setup production line daily required working hours
