製程代碼,製程名稱,製程良率目標值,製程備註,不良原因代碼,不良原因名稱,不良原因備註
PP,前加工,95.50,製程原因,PP_ng01,缺料,ng01
PP,,,,PP_ng02,模具不良,ng02
PP,,,,PP_ng03,上唇缺料,
PP,,,,PP_ng04,凹洞,
PP,,,,PP_ng05,黑點,
Main,生產,98.00,,Main_ng01,破裂,
Main,,,,Main_ng02,毛邊,
Main,,,,Main_ng03,變形,
Main,,,,Main_ng04,尺寸不良,
Main,,,,Main_ng05,生鏽,
SW,點焊,90.00,,SW_ng01,脫落,
SW,,,,SW_ng02,生鏽,
SW,,,,SW_ng03,毛邊,
SW,,,,SW_ng04,變形,
SW,,,,SW_ng05,表面異物,
SW,,,,SW_ng06,凹痕過大,
SW,,,,SW_ng07,熔點過小,
SW,,,,SW_ng08,熔點過大,
SW,,,,SW_ng09,熔接不均,
SW,,,,SW_ng10,熔點裂痕,
ASB,組裝,99.00,,ASB_ng01,壓傷,
ASB,,,,ASB_ng02,碰撞,
ASB,,,,ASB_ng03,擠壓變形,
ASB,,,,ASB_ng04,缺件,
ASB,,,,ASB_ng05,掉漆,
