move_in,line_id,work_id,op,cust_field_1,cust_field_2,cust_field_3,cust_field_4,cust_field_5,shift_day,move_out,output
2017/6/5 08:01:30,line_pd_02,Key_17060003,4,-1,-1,-1,-1,-1,2017/6/5,2017/6/5 09:30:04,262
2017/6/5 08:03:00,line_pd_01,Key_17060003,4,-1,-1,-1,-1,-1,2017/6/5,2017/6/5 09:26:07,250
2017/6/5 13:02:41,line_pd_01,Key_17060002,4,-1,-1,-1,-1,-1,2017/6/5,2017/6/5 15:46:14,502
2017/6/5 13:02:41,line_pd_02,Key_17060001,4,-1,-1,-1,-1,-1,2017/6/5,2017/6/5 16:09:33,511
2017/6/7 08:01:16,line_pd_02,Key_17060004,4,-1,-1,-1,-1,-1,2017/6/7,2017/6/7 09:31:18,269
2017/6/7 08:02:13,line_pd_01,Key_17060004,4,-1,-1,-1,-1,-1,2017/6/7,2017/6/7 09:30:01,260
2017/6/7 13:05:12,line_pd_01,Key_17060005,4,-1,-1,-1,-1,-1,2017/6/7,2017/6/7 16:13:49,518
2017/6/7 13:05:42,line_pd_02,Key_17060006,4,-1,-1,-1,-1,-1,2017/6/7,2017/6/7 16:02:57,524
2017/6/9 08:01:43,line_pd_02,Key_17060007,4,-1,-1,-1,-1,-1,2017/6/9,2017/6/9 09:34:17,257
2017/6/9 08:05:25,line_pd_01,Key_17060007,4,-1,-1,-1,-1,-1,2017/6/9,2017/6/9 09:37:10,280
