move_in,line_id,work_id,op,process_code,ng_code,cust_field_1,cust_field_2,cust_field_3,cust_field_4,cust_field_5,ng_quantity
2017/6/5 08:01:30,line_pd_02,Key_17060003,4,ASB,ASB_ng01,-1,-1,-1,-1,-1,10
2017/6/5 08:01:30,line_pd_02,Key_17060003,4,ASB,ASB_ng02,-1,-1,-1,-1,-1,10
2017/6/5 13:02:41,line_pd_01,Key_17060002,4,ASB,ASB_ng03,-1,-1,-1,-1,-1,10
2017/6/5 13:02:41,line_pd_01,Key_17060001,4,ASB,ASB_ng04,-1,-1,-1,-1,-1,10
2017/6/7 08:01:16,line_pd_02,Key_17060004,4,ASB,ASB_ng03,-1,-1,-1,-1,-1,10
2017/6/7 08:01:16,line_pd_02,Key_17060004,4,ASB,ASB_ng05,-1,-1,-1,-1,-1,10
2017/6/7 13:05:12,line_pd_02,Key_17060005,4,ASB,ASB_ng04,-1,-1,-1,-1,-1,10
2017/6/7 13:05:42,line_pd_02,Key_17060006,4,ASB,ASB_ng03,-1,-1,-1,-1,-1,10
2017/6/9 08:01:43,line_pd_02,Key_17060007,4,ASB,ASB_ng03,-1,-1,-1,-1,-1,10
2017/6/9 08:01:43,line_pd_02,Key_17060007,4,ASB,ASB_ng01,-1,-1,-1,-1,-1,10
