	zh_tw	zh	en
i18n_ServCloud_ServTrackManagement_000001	長度不可超過50	长度不可超过50	Maximum length 50
i18n_ServCloud_ServTrackManagement_000002	長度不可超過10	长度不可超过10	Maximum length 10
i18n_ServCloud_ServTrackManagement_000003	請選取需列印的QRCode...	请选取需列印的QRCode...	Please select the QRCode to print
i18n_ServCloud_ServTrackManagement_000004	請輸入0 ~ 100範圍的值	请输入0 ~ 100范围的值	Please enter a value ranging from 0 to 100
i18n_ServCloud_ServTrackManagement_000005	請填目標值	请填目标值	Please input the target value
i18n_ServCloud_ServTrackManagement_000006	請填數字	请填数字	Please input numbers
i18n_ServCloud_ServTrackManagement_000007	行動報工站	行动报工站	ServTrack
i18n_ServCloud_ServTrackManagement_000008	良率目標值(%)	良率目标值(%)	Target yield rate(%)
i18n_ServCloud_ServTrackManagement_000009	線別維護	线别维护	Production line maintain
i18n_ServCloud_ServTrackManagement_000010	線別條碼列印	线别条码列印	Print QR code for production line
i18n_ServCloud_ServTrackManagement_000011	線別查詢	线别查询	Production line query
i18n_ServCloud_ServTrackManagement_000012	線別名稱	线别名称	Production line name
i18n_ServCloud_ServTrackManagement_000013	線別代碼	线别代码	Production line code
i18n_ServCloud_ServTrackManagement_000014	欄位名稱，不得重複	栏位名称，不得重复	Duplicate value is not allowed
i18n_ServCloud_ServTrackManagement_000015	稼動目標值(%)	稼动目标值(%)	Target utilization rate(%)
i18n_ServCloud_ServTrackManagement_000016	產能目標值(%)	产能目标值(%)	Target production capacity(%)
i18n_ServCloud_ServTrackManagement_000017	特殊符號僅包含	特殊符号仅包含	Special symbols contain only
i18n_ServCloud_ServTrackManagement_000018	清除	清除	Clear
i18n_ServCloud_ServTrackManagement_000019	此欄位必填	此栏位必填	This column is required
i18n_ServCloud_ServTrackManagement_000020	查詢	查询	Query
i18n_ServCloud_ServTrackManagement_000021	啟用	启用	Activate
i18n_ServCloud_ServTrackManagement_000022	不能有中文字	不能有中文字	Can not have Chinese characters
i18n_ServCloud_ServTrackManagement_000023	不可輸入全形字母數字	不可输入全形字母数字	Do not enter fullwidth forms letters and numbers 
i18n_ServCloud_ServTrackManagement_000024	不可輸入全形字元	不可输入全形字元	Do not enter fullwidth forms characters
i18n_ServCloud_ServTrackManagement_000025	預估產量	预估产量	Estimated production quantity
i18n_ServCloud_ServTrackManagement_000026	開立	开立	Initiation
i18n_ServCloud_ServTrackManagement_000027	開工時間	开工时间	Production start time
i18n_ServCloud_ServTrackManagement_000028	長度不可超過20	长度不可超过20	Maximum length 20
i18n_ServCloud_ServTrackManagement_000029	請選擇製程	请选择制程	Please select production process
i18n_ServCloud_ServTrackManagement_000030	請選擇產品	请选择产品	Please select product
i18n_ServCloud_ServTrackManagement_000031	請輸入派工單編號	请输入派工单编号	Please input the work order number
i18n_ServCloud_ServTrackManagement_000032	請輸入0 ~ 999999.9999範圍的值	请输入0 ~ 999999.9999范围的值	Please input a value ranging from 0 to 999999.9999
i18n_ServCloud_ServTrackManagement_000033	請填單件標工	请填单件标工	Please input the product cycle time per unit
i18n_ServCloud_ServTrackManagement_000034	設定	设定	Setup
i18n_ServCloud_ServTrackManagement_000035	製程	制程	Production process
i18n_ServCloud_ServTrackManagement_000036	編輯派工單	编辑派工单	Edit work order
i18n_ServCloud_ServTrackManagement_000037	結案	结案	Closed
i18n_ServCloud_ServTrackManagement_000038	索引不得重覆	索引不得重覆	Index may not be repeated
i18n_ServCloud_ServTrackManagement_000039	確定要結案嗎	确定要结案吗	You sure you want to close it?
i18n_ServCloud_ServTrackManagement_000040	確定要取消嗎	确定要取消吗	You sure you want to cancel it?
i18n_ServCloud_ServTrackManagement_000041	確定要刪除此工序嗎	确定要删除此工序吗	You sure you want to delete this production process sequence?
i18n_ServCloud_ServTrackManagement_000042	確定	确定	Confirm
i18n_ServCloud_ServTrackManagement_000043	產品名稱	产品名称	Product name
i18n_ServCloud_ServTrackManagement_000044	產品代碼	产品代码	Product code
i18n_ServCloud_ServTrackManagement_000045	產品	产品	Product
i18n_ServCloud_ServTrackManagement_000046	生產中	生产中	In production
i18n_ServCloud_ServTrackManagement_000047	狀態	状态	Statue
i18n_ServCloud_ServTrackManagement_000048	派工單號已存在	派工单号已存在	Work order already existed
i18n_ServCloud_ServTrackManagement_000049	派工單號	派工单号	Work order number
i18n_ServCloud_ServTrackManagement_000050	派工單填寫	派工单填写	Work order edit
i18n_ServCloud_ServTrackManagement_000051	派工單	派工单	Work order
i18n_ServCloud_ServTrackManagement_000052	此欄為必填	此栏为必填	This column is required
i18n_ServCloud_ServTrackManagement_000053	查詢結果	查询结果	Query result
i18n_ServCloud_ServTrackManagement_000054	未開工	未开工	Work order not yet started
i18n_ServCloud_ServTrackManagement_000055	未結案	未结案	Not yet closed
i18n_ServCloud_ServTrackManagement_000056	新增派工單	新增派工单	Add work order
i18n_ServCloud_ServTrackManagement_000057	提交	提交	Submit
i18n_ServCloud_ServTrackManagement_000058	已結案	已结案	Closed
i18n_ServCloud_ServTrackManagement_000059	已取消	已取消	Cancelled
i18n_ServCloud_ServTrackManagement_000060	工序製程	工序制程	Production process sequence & Production process
i18n_ServCloud_ServTrackManagement_000061	工序編輯	工序编辑	Production process sequence edit
i18n_ServCloud_ServTrackManagement_000062	工序	工序	Production process sequence
i18n_ServCloud_ServTrackManagement_000063	工單結案	工单结案	Closed
i18n_ServCloud_ServTrackManagement_000064	工單狀態	工单状态	Work order status
i18n_ServCloud_ServTrackManagement_000065	工單更新成功	工单更新成功	Work order updated successfully
i18n_ServCloud_ServTrackManagement_000066	工單更新失敗	工单更新失败	Work order updated failed
i18n_ServCloud_ServTrackManagement_000067	工單新增成功	工单新增成功	Work order add successfully
i18n_ServCloud_ServTrackManagement_000068	工單新增失敗	工单新增失败	Work order add failed
i18n_ServCloud_ServTrackManagement_000069	工單取消	工单取消	Work order cancel
i18n_ServCloud_ServTrackManagement_000070	填寫起始日期	填写起始日期	Start date for work order creation
i18n_ServCloud_ServTrackManagement_000071	填寫結束日期	填写结束日期	End date for work order creation
i18n_ServCloud_ServTrackManagement_000072	填寫時間	填写时间	Created time
i18n_ServCloud_ServTrackManagement_000073	填寫人代碼	填写人代码	Editor code
i18n_ServCloud_ServTrackManagement_000074	填寫人	填写人	Editor
i18n_ServCloud_ServTrackManagement_000075	報工站管理	报工站管理	ServTrack Management
i18n_ServCloud_ServTrackManagement_000076	單件標工(分)	单件标工(分)	Product cycle time per unit (minute)
i18n_ServCloud_ServTrackManagement_000077	可編輯	可编辑	Editable
i18n_ServCloud_ServTrackManagement_000078	取消	取消	Cancel
i18n_ServCloud_ServTrackManagement_000079	刪除工序	删除工序	Delete production process sequence
i18n_ServCloud_ServTrackManagement_000080	初始投入量	初始投入量	First input amount
i18n_ServCloud_ServTrackManagement_000081	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000082	不可為0	不可为0	Not to be 0
