	zh_tw	zh	en
i18n_ServCloud_Inquiry_inquiry	詢價單查詢	询价单查询	Inquiry inquiry
i18n_ServCloud_No_quote_inquiry_inquiry	未報價詢價單查詢	未报价询价单查询	No quote inquiry inquiry
i18n_ServCloud_Back_to_list	返回詢價單查詢	返回询价单查询	Back to RFQ list
i18n_ServCloud_Inquiry_Details	詢價單詳細信息	询价单详细信息	Inquiry Details
i18n_ServCloud_Standard_Products_Match_Result	標品匹配結果	标品匹配结果	Standard products match result
i18n_ServCloud_Inquiry_Contents	詢價單內容	询价单内容	Inquiry contents
i18n_ServCloud_Cost_of_Material	物料成本	物料成本	cost of material
i18n_ServCloud_Factory_profit	出廠利潤	出厂利润	Factory profit
i18n_ServCloud_Market_profits	市場利潤	市场利润	Market profits
i18n_ServCloud_Quoted_price	報價	报价	Quoted price
i18n_ServCloud_Orders_species	訂單種類	订单种类	Orders species
i18n_ServCloud_Expected_number_of_lamps	預計燈具數量	预计灯具数量	Expected number of lamps
i18n_ServCloud_Expected_Order_Time	預計下單時間	预计下单时间	Expected Order Time
i18n_ServCloud_Expected_delivery_date	期望交貨日期	期望交货日期	Expected delivery date
i18n_ServCloud_Item_Description	項目內容說明	项目内容说明	Item Description
i18n_ServCloud_Lighting_Series	燈具系列	灯具系列	Lighting Series
i18n_ServCloud_Lighting_Model	燈具型號	灯具型号	Lighting Model
i18n_ServCloud_Lighting_Type	燈具類型	灯具类型	Lighting type
i18n_ServCloud_Led_Lamp_Few_Beads	LED燈珠數	LED灯珠数	LED lamp few beads
i18n_ServCloud_Lighting_Length	燈具長度(mm)	灯具长度(mm)	Lighting length(mm)
i18n_ServCloud_Light_Color_Requirements	光顏色要求	光颜色要求	Light color requirements
i18n_ServCloud_Led_Lamp_Color_Temperature	LED燈珠色溫	LED灯珠色温	LED lamp color temperature
i18n_ServCloud_Composition_Way	組成方式	组成方式	Composition way
i18n_ServCloud_Composition_Coefficient	組成係數	组成系数	Composition coefficient
i18n_ServCloud_Control_Method	控制方式	控制方式	control method
i18n_ServCloud_Segmented_Way	分段方式(P)	分段方式(P)	Segmented way(P)
i18n_ServCloud_Pixel_Unit_Requirements	像素點要求單位	像素点要求单位	Pixel unit requirements
i18n_ServCloud_Operating_Voltage	工作電壓(V)	工作电压(V)	Operating Voltage(V)
i18n_ServCloud_Beam_Angle	發光角度°	发光角度°	Beam angle°
i18n_ServCloud_Lighting_Power	燈具功率(W)	灯具功率(W)	Lighting power(W)
i18n_ServCloud_Light_Colors	燈具顏色	灯具颜色	Light colors
i18n_ServCloud_Led_Light_Source_Brand	LED光源品牌	LED光源品牌	LED light source brand
i18n_ServCloud_Chip_Specification	芯片規格	芯片规格	Chip Specification
i18n_ServCloud_Vice_Sorting_Chip	副選芯片	副选芯片	Vice sorting chip
i18n_ServCloud_Vice_Sorting_Chip_Specifications	副選芯片規格	副选芯片规格	Vice sorting chip specifications
i18n_ServCloud_The_Length_Of_The_Power_Line_Outlet	電源線出線長度(mm)	电源线出线长度(mm)	The length of the power line outlet(mm)
