派工單號,產品代碼,預估產量,初始投入量,派工單備註,工序,製程代碼,標工(分),工序備註
Key_17060001,Key_VV_01,500,550,,01,PP,0.4512,
Key_17060001,,,,,02,Main,0.5843,
Key_17060001,,,,,03,SW,2.2317,
Key_17060001,,,,,04,ASB,0.3210,
Key_17060002,Key_VV_01,500,550,,01,PP,0.4512,
Key_17060002,,,,,02,Main,0.5843,
Key_17060002,,,,,03,SW,2.2317,
Key_17060002,,,,,04,ASB,0.3210,
Key_17060003,Key_VV_01,500,550,,01,PP,0.4512,
Key_17060003,,,,,02,Main,0.5843,
Key_17060003,,,,,03,SW,2.2317,
Key_17060003,,,,,04,ASB,0.3210,
Key_17060004,Key_VV_01,500,550,,01,PP,0.4512,
Key_17060004,,,,,02,Main,0.5843,
Key_17060004,,,,,03,SW,2.2317,
Key_17060004,,,,,04,ASB,0.3210,
Key_17060005,Key_VV_01,500,550,,01,PP,0.4512,
Key_17060005,,,,,02,Main,0.5843,
Key_17060005,,,,,03,SW,2.2317,
Key_17060005,,,,,04,ASB,0.3210,
Key_17060006,Key_VV_02,500,550,,01,PP,0.4512,
Key_17060006,,,,,02,Main,0.5843,
Key_17060006,,,,,03,SW,2.2317,
Key_17060006,,,,,04,ASB,0.3210,
Key_17060007,Key_VV_02,500,550,,01,PP,0.4512,
Key_17060007,,,,,02,Main,0.5843,
Key_17060007,,,,,03,SW,2.2317,
Key_17060007,,,,,04,ASB,0.3210,
WR_17060001,WR_AD_01,500,550,,01,PP,0.4512,
WR_17060001,,,,,02,Main,0.5843,
WR_17060001,,,,,03,SW,1.2317,
WR_17060001,,,,,04,SW,1.3210,
WR_17060001,,,,,05,ASB,0.4530,
WR_17060002,WR_AD_02,500,550,,01,PP,0.4512,
WR_17060002,,,,,02,Main,0.5843,
WR_17060002,,,,,03,SW,1.2317,
WR_17060002,,,,,04,SW,1.3210,
WR_17060002,,,,,05,ASB,0.4530,
Ckey_17060001,Ckey_AD_01,500,550,,01,PP,0.4512,
Ckey_17060001,,,,,02,Main,0.5843,
Ckey_17060001,,,,,03,SW,1.2317,
Ckey_17060001,,,,,04,SW,1.9715,
Ckey_17060001,,,,,05,ASB,0.9981,
