	zh_tw	zh	en
i18n_ServCloud_UtilizationStd	稼動管理	稼动管理	Utilization Rate Analysis
i18n_ServCloud_Functions	功能	功能	Functions
i18n_ServCloud_DailyUtilization	日稼動率報表	日稼动率报表	Daily Utilization
i18n_ServCloud_DailyUtilization_Anko	日稼動率報表(PLC)	日稼动率报表(PLC)	Daily Utilization (PLC)
i18n_ServCloud_05_Alarm_Message	05 警示訊息	05 警示讯息	05 Alarm Message
i18n_ServCloud_10_DailUtilization	10 日稼動率報表	10 日稼动率报表	01 Daily Utilization
i18n_ServCloud_10_DailUtilization_Enzoy	日稼動率報表	日稼动率报表	Daily Utilization
i18n_ServCloud_Monthly_Utilization	月稼動率報表	月稼动率报表	Monthly Utilization
i18n_ServCloud_20_Monthly_Utilization	20 月稼動率報表	20 月稼动率报表	02 Monthly Utilization
i18n_ServCloud_20_Monthly_Utilization_Enzoy	月稼動率報表	月稼动率报表	Monthly Utilization
i18n_ServCloud_Yearly_Utilization	年稼動率報表	年稼动率报表	Yearly Utilization
i18n_ServCloud_25_Yearly_Utilization	25 年稼動率報表 25 年稼动率报表	25 Yearly Utilization
i18n_ServCloud_40_Customer_Management	40 客戶及品名設定	40 客户及品名设定	40 Customer Management
i18n_ServCloud_Product_Management	品名及加工程式對應設定	品名及加工程式对应设定	Product Management
i18n_ServCloud_50_Product_Management	50 品名及加工程式對應設定	50 品名及加工程式对应设定	50 Product Management
i18n_ServCloud_Machine_Status_History	機台歷史狀態查詢	机台历史状态查询	Machine Status History 
i18n_ServCloud_70_Machine_Status_History	70 機台歷史狀態查詢	70 机台历史状态查询	70 Machine Status History 
i18n_ServCloud_Bar_Chart	長條圖	长条图	Bar Chart
i18n_ServCloud_line_Chart	折線圖	折线图	Line Chart
i18n_ServCloud_Query_Condition	搜尋條件	搜寻条件	Query Condition
i18n_ServCloud_Query_Result	搜尋結果	搜寻结果	Query Result
i18n_ServCloud_Query_Month	查詢月份	查询月份	Query Month
i18n_ServCloud_Start_Date	起始日期	起始日期	Start Date
i18n_ServCloud_End_Date	結束日期	结束日期	End Date
i18n_ServCloud_Start_Month	起始月份	起始月份	Start Month
i18n_ServCloud_End_Month	結束月份	结束月份	End Month
i18n_ServCloud_Machine	機台	机台	Machine
i18n_ServCloud_Mode	報表形式	报表形式	Mode
i18n_ServCloud_detail	明細	明细	Detail
i18n_ServCloud_day	日期	日期	Date
i18n_ServCloud_class	班次	班次	Shift
i18n_ServCloud_Show_Demo_Data	顯示Demo資料	显示Demo资料	Show Demo Data
i18n_ServCloud_Submit	提交	提交	Submit
i18n_ServCloud_Date	日期	日期	Date
i18n_ServCloud_Class	班次	班次	Shift
i18n_ServCloud_Program	程式	程式	Program
i18n_ServCloud_Power_Time	通電時間	通电时间	Power Time
i18n_ServCloud_Operation_Time	運轉時間	运转时间	Operation Time
i18n_ServCloud_Cutting_Time	切削時間	切削时间	Cutting Time
i18n_ServCloud_No_Work_Time	閒置時間	闲置时间	Downtime
i18n_ServCloud_Alarm_Time	警報時間	警报时间	Alarm time
i18n_ServCloud_Idle_Time	閒置時間	闲置时间	Idel Time
i18n_ServCloud_Invalid_Time	上班閒置時間	上班闲置时间	Down Time On Work
i18n_ServCloud_Output	產出	产出	Output
i18n_ServCloud_Utilization	稼動率	稼动率	Utilization
i18n_ServCloud_Effective_Utiliziation	有效稼動率	有效稼动率	Effective Utilization
i18n_ServCloud_ACHB_Utiliziation_New	ACHB稼動率(新)	ACHB稼动率(新)	ACHB Utilization (New)
i18n_ServCloud_ACHB_Utiliziation_Old	ACHB稼動率(舊)	ACHB稼动率(旧)	ACHB Utilization (Old)
i18n_ServCloud_Actions	操作	操作	Actions
i18n_ServCloud_Product_Code	產品代碼	产品代码	Product Code
i18n_ServCloud_Customer_Name	顧客名稱	顾客名称	Customer Name
i18n_ServCloud_Pie_Chart	圓餅圖	圆饼图	Pie Chart
i18n_ServCloud_Customer_Id	顧客編號	顾客编号	Customer Id
i18n_ServCloud_Process_Program	加工程式	加工程式	Process Program
i18n_ServCloud_Product_Id	產品編號	产品编号	Process Id
i18n_ServCloud_11_Amd	11 AMD	11 AMD	11 AMD
i18n_ServCloud_Amd	AMD	AMD	AMD
i18n_ServCloud_Module	模組	模组	Module
i18n_ServCloud_Piece	零件	零件	Piece
i18n_ServCloud_Work_Seq	工序	工序	Sequence
i18n_ServCloud_60_Adapter_Params	60 擷取參數	60 撷取参数	50 Fetch Parameters
i18n_ServCloud_Adapter_Params	擷取參數	撷取参数	Fetch Parameters
i18n_ServCloud_Adapter_Params_Name	參數名稱	参数名称	Parameter Name
i18n_ServCloud_Adapter_Params_RW	讀/寫	读/写	Read/Writer
i18n_ServCloud_Device_Status_Stack_Chart	機台狀態歷史堆疊圖	机台状态历史堆叠图	Machine Status History Stack Chart
i18n_ServCloud_Query_Date	查詢日期	查询日期	Query Date 
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_Alarm_Code	警報代碼	警报代码	Alarm Code
i18n_ServCloud_Alarm_Code_Definition	警報代碼說明	警报代码说明	Alarm Code Definition
i18n_ServCloud_Start_Time	開始時間	开始时间	Start Time
i18n_ServCloud_End_Time	結束時間	结束时间	End Time
i18n_ServCloud_Duration	持續時間	持续时间	Duration
i18n_ServCloud_partCount	完成量	完成量	Part Time
i18n_ServCloud_Hint	提示	提示	Hint
