	zh_tw	zh	en
i18n_ServCloud_Agent_Information	代理商聯絡資訊	代理商联络资讯	Agent contact information
i18n_ServCloud_License_Update	更新合約	更新合约	License update
i18n_ServCloud_File_Select	將合約檔案拖曳至此	将合约档案拖曳至此	Drop license file into here
i18n_ServCloud_30_Log_Download	日誌下載	日志下载	Log Download
i18n_ServCloud_Query_Condition	查詢條件	查询条件	Query Condition
i18n_ServCloud_Start_Date	開始日期	开始日期	Start date
i18n_ServCloud_End_Date	結束日期	结束日期	End date
i18n_ServCloud_ServCore	ServCore	ServCore	ServCore
i18n_ServCloud_QuerResult	查詢結果	查询结果	QueryResult
i18n_ServCloud_FileName	檔案名稱	档案名称	File Nmae
i18n_ServCloud_FileSize	檔案大小	档案大小	File Size
i18n_ServCloud_UploadTime	上傳時間	上传时间	Upload Time

----5.2.1.2----
i18n_ServCloud_Inbound_Dispatch	進站派工	进站派工	Inbound Dispatch
i18n_ServCloud_Dispatch_Confirm	確認派工	确认派工	Dispatch Confirm
i18n_ServCloud_Line	線別	线别	Line
i18n_ServCloud_Shift	班次	班次	Shift
i18n_ServCloud_Shift_Date	班次日期	班次日期	Shift date
i18n_ServCloud_Work_Order_Process	工單製程	工单制程	Work Order Process
i18n_ServCloud_Mold_Number	模具編號	模具编号	Mold Number
i18n_ServCloud_Tool_Number	刀具編號	刀具编号	Tool Number
i18n_ServCloud_Employee_ID	員工編號	员工编号	Employee ID
i18n_ServCloud_Number_Of_People	人數	人数	Number Of People
i18n_ServCloud_Number_Of_People	人數	人数	Number Of People
i18n_ServCloud_Last_Shift	上一班次	上一班次	Last Shift
i18n_ServCloud_Next_Shift	下一班次	下一班次	Next Shift
i18n_ServCloud_Inbound	進站	进站	Inbound
i18n_ServCloud_Stop	暫停	暂停	Stop
i18n_ServCloud_Resume	恢復	恢复	Resume
i18n_ServCloud_Outbound	出站	出站	Outbound
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_Contents	內容	內容	Contents
i18n_ServCloud_Outbound_Time	出站時間	出站时间	Outbound Time
i18n_ServCloud_Work	工單	工单	Work
i18n_ServCloud_Work_Batch_Number	工單批號	工单批号	Work Batch Number
i18n_ServCloud_Production_Process	製程	制程	Production Process

---4.2.1--- 派工單填寫

i18n_ServCloud_Upper_Layer_Work	上層工單	上层工单	Upper Layer Work
i18n_ServCloud_Order	訂單	订单	Order 
i18n_ServCloud_Order_Num	訂單編號	订单編号	Order_Num
i18n_ServCloud_Order_Number	訂單序號	订单序号	Order Number
